Start Time,Sortname,Location,CaO_AVG,SiO2_AVG,Al2O3_AVG,Fe2O3_AVG,MgO_AVG,NO.SO3.P_AVG,Na2O.P_AVG,K2O.P_AVG,TiO2_AVG,P2O5_AVG,Mn2O3_AVG,Cl_AVG,Cr2O3_AVG,LOI.P_AVG,NO.R45_AVG,WC_AVG,WR_AVG,SETINI_AVG,SETFIN_AVG,FLOW_AVG,R1,R3
2019-01-02 00:00:00,BOYT1,NO.630.d,52.406399,25.0984,5.0146,2.7556,0.6735,2.3595,0.0762,0.8142,0.2942,0.3372,0.0514,0.0193,0.0081,9.72,12.33,52.029999,24.92,181,260,109.0,6.1,14.52
2019-01-05 00:00:00,BOYT1,NO.563.d,52.431499,24.811501,5.233,2.8548,0.6637,2.3451,0.1162,0.868,0.2913,0.3468,0.0539,0.019,0.007,9.71,11.86,51.889999,24.77,177,270,111.0,4.96,14.04
2019-01-05 00:00:00,ESP+,NO.630.d,60.783199,23.4116,5.3005,3.2836,0.8082,2.6497,0.09,0.825,0.2964,0.3807,0.0595,0.0181,0.0056,1.96,1.16,48.919998,24.92,128,175,108.0,15.92,30.33
2019-01-06 00:00:00,BOYT1,NO.563.d,52.664001,25.6136,5.0334,2.9018,0.7016,2.3768,0.0663,0.8857,0.2957,0.336,0.0524,0.0208,0.0084,9.33,12.43,52.029999,24.15,159,252,106.0,6.61,14.78
2019-01-06 00:00:00,ESP2,NO.563.d,59.214901,23.465599,5.1661,3.2947,0.7415,2.3205,0.0776,0.8463,0.2909,0.3823,0.0579,0.019,0.0091,4.0,1.01,48.650002,25.690001,128,201,113.0,14.67,30.15
2019-01-09 00:00:00,BOYT1,NO.630.d,52.727402,25.2659,5.1237,2.8381,0.681,2.3963,0.1355,0.852,0.2996,0.3471,0.0546,0.0196,0.01,9.5,11.97,52.43,24.92,172,247,108.0,6.35,15.63
2019-01-10 00:00:00,ESP2,NO.630.d,60.266102,23.4277,5.0335,3.2999,0.7667,2.3813,0.08,0.832,0.2852,0.3636,0.0578,-0.0036,0.0068,3.34,1.33,50.0,26.0,116,191,106.0,12.34,26.629999
2019-01-12 00:00:00,ESP+,NO.630.d,61.829399,23.8995,5.1544,3.3999,0.8151,2.7742,0.1188,0.8446,0.2971,0.3714,0.0587,0.0026,0.0062,1.82,1.1,49.299999,25.23,112,196,110.0,15.35,29.74
2019-01-12 00:00:00,ESP2,NO.630.d,59.753799,23.587799,4.9517,3.2605,0.7304,2.2549,0.0983,0.808,0.3022,0.3436,0.0598,-0.0035,0.0069,4.08,1.59,50.0,26.0,111,192,109.0,13.13,28.85
2019-01-13 00:00:00,BOYT1,NO.563.d,52.459202,25.4128,5.0428,3.1655,0.6885,2.445,0.0913,0.8794,0.2977,0.3413,0.0559,0.0036,0.0093,9.31,12.08,52.029999,24.620001,188,255,106.0,5.29,13.66
2019-01-13 00:00:00,ESP2,NO.563.d,60.4034,23.324499,5.0411,3.5783,0.7514,2.3679,0.1028,0.8302,0.2988,0.3678,0.0623,0.0022,0.0087,3.8,1.23,49.32,25.690001,141,216,107.0,12.25,28.15
2019-01-14 00:00:00,BOYT1,NO.630.d,52.1391,26.3801,4.9387,2.9363,0.6582,2.2679,0.1137,0.8892,0.3061,0.3239,0.0545,-0.001,0.0083,9.09,12.2,52.970001,24.92,173,268,107.0,5.01,13.34
2019-01-14 00:00:00,ESP+,NO.563.d,62.790401,23.487499,4.8632,3.567,0.7862,2.4277,0.0975,0.8222,0.2941,0.3716,0.063,0.0024,0.008,1.66,0.9,49.299999,25.08,113,198,111.0,14.29,28.15
2019-01-14 00:00:00,ESP2,NO.563.d,60.6703,23.1464,4.7365,3.5347,0.732,2.2893,0.0849,0.8044,0.29,0.3642,0.0593,-0.0037,0.0082,3.97,1.46,48.919998,24.309999,125,211,106.0,11.88,26.77
2019-01-15 00:00:00,ESP2,NO.630.d,59.6506,23.2124,5.0893,3.4199,0.7506,2.397,0.1057,0.8087,0.2972,0.3707,0.0607,0.0009,0.0073,3.9,1.43,49.32,25.23,137,200,106.0,12.32,29.110001
2019-01-16 00:00:00,ESP+,NO.630.d,61.598099,23.3463,5.0791,3.4936,0.7586,2.438,0.0878,0.8145,0.2925,0.3611,0.0625,0.0071,0.0075,1.61,1.04,48.650002,24.77,110,207,109.0,15.03,29.440001
2019-01-16 00:00:00,ESP2,NO.563.d,59.1423,23.4086,5.0073,3.1068,0.7687,2.5112,0.0915,0.8317,0.3047,0.3289,0.0553,0.0092,0.0078,4.02,1.86,50.0,24.92,121,231,106.0,12.53,27.25
2019-01-17 00:00:00,BOYT1,NO.563.d,59.6035,25.9111,4.9306,2.7004,0.6847,2.5328,0.0983,0.863,0.3044,0.3058,0.0491,0.0137,0.0079,9.19,10.99,52.700001,24.77,171,261,106.0,6.05,14.81
2019-01-17 00:00:00,ESP+,NO.630.d,61.554199,23.399,5.073,3.3642,0.7948,2.4775,0.097,0.8406,0.2968,0.3545,0.0602,0.0042,0.0084,1.66,0.99,49.259998,24.23,109,210,110.0,14.55,29.379999
2019-01-18 00:00:00,ESP+,NO.630.d,47.8078,23.4842,5.0661,3.468,0.7683,2.4689,0.1239,0.8258,0.302,0.3645,0.0606,-0.0004,0.0068,1.6,1.1,48.650002,24.77,106,211,107.0,15.23,28.709999
2019-01-19 00:00:20,BOYT1,NO.563.d,51.6469,26.1096,4.9262,2.7733,0.6864,2.395,0.0975,0.8605,0.3024,0.3162,0.0472,0.0021,0.0082,9.67,13.79,53.299999,25.08,180,284,105.0,5.32,13.19
2019-01-19 00:00:20,ESP+,NO.630.d,47.8078,23.3473,5.0223,3.3108,0.7858,2.5014,0.0991,0.8101,0.2982,0.3578,0.06,0.0044,0.0063,1.78,1.02,49.189999,25.08,102,231,110.0,15.3,29.08
2019-01-19 00:00:20,ESP2,NO.630.d,60.052799,23.515699,5.0033,3.2023,0.753,2.3626,0.1065,0.8128,0.3086,0.3332,0.0613,0.0065,0.0081,4.01,1.38,49.73,25.08,112,232,105.0,14.23,28.76
2019-01-20 00:00:00,BOYT1,NO.563.d,51.004002,26.1971,5.1608,2.7974,0.7129,2.491,0.0928,0.8587,0.3031,0.3117,0.0518,0.0091,0.0081,9.38,13.43,53.380001,25.08,175,289,106.0,5.83,13.64
2019-01-20 00:00:00,ESP2,NO.563.d,59.8592,23.777901,4.9963,3.3039,0.775,2.3521,0.0806,0.713,0.3014,0.3461,0.0577,0.0176,0.0065,3.76,0.84,50.41,25.379999,120,237,105.0,14.67,29.18
2019-01-21 00:00:00,ESP+,NO.630.d,61.199402,23.5131,5.1334,3.3197,0.808,2.5194,0.0708,0.8017,0.3004,0.3595,0.0607,0.0094,0.0075,1.8,1.01,48.919998,25.08,113,229,106.0,15.66,30.16
2019-01-21 00:00:00,ESP2,NO.563.d,59.2057,23.735901,5.0361,3.3447,0.7459,2.3647,0.0979,0.8158,0.3005,0.3489,0.0588,0.0206,0.0075,3.83,0.77,50.720001,25.08,127,254,109.0,13.55,28.99
2019-01-22 00:00:00,ESP+,NO.630.d,60.043701,23.557899,4.9857,3.2103,0.8337,2.5242,0.1076,0.8016,0.2972,0.3476,0.0602,0.0023,0.0083,2.07,0.91,49.189999,25.23,123,180,107.0,16.059999,30.74
